"","dn0_lo10","dn0_med","dn0_up90","rn0_lo10","rn0_med","rn0_up90","gamman_lo10","gamman_med","gamman_up90","bioassay_mortality"
"1",0.270679253474422,0.338731829863888,0.42412465594454,0.565900592269428,0.638745275126228,0.689805420084001,2.64,2.64,2.64,1
"2",0.269812699253685,0.338196835209313,0.423091751132039,0.566823389396466,0.639175212451811,0.69040153317475,2.62995192508088,2.63449350295012,2.63799689143962,0.99
"3",0.26918154165593,0.337252602649912,0.422241503011185,0.567582373020015,0.639933065322629,0.690834734158813,2.61985777637014,2.6289631258372,2.63598535694623,0.98
"4",0.268247317617771,0.336356782638637,0.421518495623903,0.568227328182124,0.640650911907668,0.691474437730466,2.60972443599792,2.62340136156706,2.63395873512138,0.97
"5",0.267901102891765,0.335451117708204,0.420775329374435,0.568889842387919,0.641375534939715,0.691711035987652,2.59954953539772,2.6178150649828,2.63191206039215,0.96
"6",0.267322694349574,0.334437051201724,0.420020937240382,0.569561911943549,0.642185537486034,0.692105764096875,2.58933302732106,2.61220664594493,2.62984825111181,0.95
"7",0.266541944660989,0.333725445469327,0.419256479589962,0.570242479930634,0.642753075750741,0.692637472999759,2.57907487182331,2.60657280912357,2.62776708878975,0.94
"8",0.26565610023626,0.332978324813494,0.41848172562706,0.570931730427001,0.64334815949292,0.693239195547405,2.56877503660306,2.60089759723254,2.62566824574319,0.93
"9",0.26493072815923,0.332104932734574,0.417696436935147,0.571629853231728,0.644042834895234,0.693730667002864,2.55828885408484,2.59518874986201,2.62355138453165,0.92
"10",0.264124161048858,0.331189245467323,0.416900367145692,0.572337044098626,0.644769965555227,0.694275853928446,2.54773191352975,2.58944864879895,2.62142289586507,0.91
"11",0.2634269695004,0.330371441837624,0.416099656169908,0.573047830886951,0.64541837792102,0.694745990468011,2.53721057665531,2.58369301061733,2.61928111620192,0.9
"12",0.262985497714166,0.329580171419963,0.415074990377542,0.573956646639029,0.646044822025204,0.695043145805433,2.52649094180801,2.5779083809165,2.61712276095398,0.89
"13",0.262066980279365,0.328667084047653,0.414001658372696,0.574907686597929,0.646766577756563,0.695660059572043,2.51568771900725,2.57210094392293,2.61494751992263,0.88
"14",0.260983928670578,0.327816651770104,0.412912119190778,0.575872096568203,0.647437729502017,0.696385139944522,2.50513377631074,2.56628261123278,2.61275507352169,0.87
"15",0.260032011938161,0.326814197397307,0.411813198810072,0.576843792165719,0.648227482089305,0.697020322740773,2.49456717184248,2.5604383806199,2.61054509238189,0.86
"16",0.25945951927801,0.326157321661483,0.411234037096339,0.577355505670296,0.648744183105599,0.697401367509723,2.48397459132504,2.55450419639587,2.60831723693384,0.85
"17",0.2590445344487,0.325140410004676,0.410659072917479,0.577863224256488,0.64954283344666,0.697677099567499,2.47334997533316,2.54853757065904,2.60607115696808,0.84
"18",0.257871834787707,0.323989776029086,0.410076123792135,0.578377700731583,0.650444649891505,0.698454357238241,2.46268153301134,2.54257119791875,2.60380649117071,0.83
"19",0.256536092448576,0.322786750616572,0.409212085563016,0.579139706301595,0.651385407668083,0.699335962240546,2.45199736726843,2.53644194498251,2.60152286663284,0.82
"20",0.255564398162214,0.321842722034558,0.408189267378545,0.580040905286258,0.652122100683772,0.699974781746975,2.44129940803104,2.53028510904638,2.59921989833209,0.81
"21",0.254574235579471,0.320822335584239,0.407144933203296,0.580960121801824,0.652916853286302,0.700623565160953,2.43058874767088,2.5241509666853,2.59689718858426,0.8
"22",0.253810419367831,0.319623543264921,0.406074309429934,0.581901485837665,0.653848552429406,0.701122530319935,2.41985811755711,2.51796365801808,2.59455432646292,0.79
"23",0.253018263372559,0.318768732863194,0.405007105085428,0.582838832091409,0.654511552450226,0.701638613059544,2.40907970044131,2.5116930206121,2.59219088718466,0.78
"24",0.252231333774882,0.317427825303497,0.403906652292685,0.583804321811193,0.655549296297864,0.702149878321286,2.39774641845049,2.50537521809145,2.58980643145761,0.77
"25",0.251394591763776,0.316334590792706,0.402798842277958,0.584775167018116,0.656393290339432,0.702691953449703,2.38691866223194,2.49909708587679,2.58740050479029,0.76
"26",0.250588197440969,0.315206203789757,0.401651681992844,0.585779332579692,0.657262455158044,0.70321283884022,2.37603084765026,2.49286763152044,2.58497263675811,0.75
"27",0.24979669178871,0.314179701102626,0.400260927853835,0.586995115922626,0.658051391959232,0.703722667008313,2.36533740422167,2.48660618718164,2.58252234022406,0.74
"28",0.248983142119643,0.313038357345626,0.398803335078262,0.588267417095805,0.658926628088618,0.704245178085644,2.35466918931282,2.48031230088865,2.58004911051024,0.73
"29",0.248002648131757,0.312094874218932,0.397319537586166,0.589560562520484,0.659648526983464,0.704872842770884,2.34398019751771,2.47387801556029,2.57755242451634,0.72
"30",0.246956982380829,0.310866081961967,0.396091502698575,0.59062925585429,0.660586620145974,0.705539698591109,2.33306121385572,2.46737321979131,2.57503173978086,0.71
"31",0.245931440997984,0.309777548545171,0.3950405456356,0.591542724130642,0.66141561364556,0.70619128643228,2.32187877191905,2.46082246944058,2.57248649348056,0.7
"32",0.244892256721481,0.308799541026815,0.393968818401409,0.592473162660946,0.662158782414756,0.706849003644555,2.30994910554929,2.45415748319484,2.56991610136308,0.69
"33",0.243869415644992,0.307763172969085,0.392536155825631,0.593715226357392,0.66294456088871,0.707493934724281,2.29877509479037,2.44748965867915,2.56731995660726,0.68
"34",0.24283546822546,0.306290931356992,0.391179968232958,0.594889152719993,0.664057773925259,0.708143283621587,2.28796779941276,2.44087407174797,2.56469742860503,0.67
"35",0.241745594938951,0.304678081636085,0.390070484553292,0.595848204694471,0.665273157607484,0.708824939371151,2.27650076548282,2.43414350016836,2.56204786165837,0.66
"36",0.240403935054125,0.303438170001,0.388936657507448,0.596827049315612,0.66620452841149,0.709660124742149,2.26426427460923,2.42714609032667,2.55937057358388,0.65
"37",0.239435515471057,0.302127492921566,0.387730673504519,0.597866787403882,0.667186233655085,0.710260207648281,2.25279886091285,2.4204217735617,2.55666485421697,0.64
"38",0.237532521859471,0.301229022906133,0.38625386880305,0.599138032055158,0.667857495646995,0.711432772844027,2.24134613501131,2.41343226375467,2.55392996380674,0.63
"39",0.236484056300597,0.299932384307751,0.384746869179146,0.600433001765847,0.668823782578013,0.712074941245675,2.22985984012435,2.40655448773281,2.55116513129166,0.62
"40",0.234709838909237,0.298791039429296,0.383209884008196,0.601751355934337,0.669671932069349,0.713155420510591,2.21847229268574,2.39958805257163,2.54836955244514,0.61
"41",0.233521821558487,0.297697393858545,0.381648981299413,0.603087742326807,0.670482503513955,0.713874468610728,2.20721737831236,2.39246623903593,2.5455423878789,0.6
"42",0.231920627406783,0.296198686736023,0.380031664209701,0.604469753594337,0.671589881326447,0.714837922755591,2.1951230544089,2.38536091168093,2.54268276089056,0.59
"43",0.230285744746974,0.294779892699349,0.378038559988719,0.606169098347077,0.672634540000561,0.715814861334901,2.18262590901868,2.37830253237078,2.53978975514052,0.58
"44",0.228649353718069,0.293693976321382,0.375694510338403,0.60816223404489,0.673431651720996,0.716785818620831,2.17095064224442,2.37107787849295,2.53686303930604,0.57
"45",0.226989043943648,0.292425854274165,0.374126938248566,0.609491855308808,0.674359891918165,0.717763842307441,2.15940372724074,2.36378632284391,2.53390116789169,0.56
"46",0.22531131591534,0.291134420005851,0.372582446469397,0.610799271338525,0.67530216698653,0.718744776507715,2.14634767938632,2.35643350237317,2.53090296298126,0.55
"47",0.22360912419522,0.290173320121321,0.370717708103821,0.612374261528099,0.676001447565258,0.719732379378532,2.13336275984057,2.34901807325312,2.52786732481244,0.54
"48",0.222008136370523,0.288846117996656,0.369433682621403,0.613456520127042,0.676964306581704,0.720654179664863,2.1216727911688,2.34153103914588,2.52479309928579,0.53
"49",0.220483713113106,0.287264790650419,0.367785795902371,0.614842744159968,0.678107269240323,0.721525455686553,2.10996477999995,2.33406600304435,2.52167907419686,0.52
"50",0.218921253695343,0.285745964461461,0.365952105672083,0.616381637233849,0.679200669304538,0.722411896338512,2.09823981735591,2.32638186480688,2.51852397512898,0.51
"51",0.216474358863721,0.284348810121245,0.364322606471539,0.617745923887218,0.680202569982879,0.723786672174482,2.08644264815172,2.31870143059852,2.5153264609688,0.5
"52",0.214869010603805,0.28317687699378,0.36265534334018,0.619138632976698,0.681040221566485,0.724679568792024,2.07301272130525,2.31108270286159,2.51208511900161,0.49
"53",0.21272470271526,0.281726489252818,0.360931382319876,0.620575268168156,0.68207320063044,0.725860950468364,2.0594718826128,2.30335199534224,2.50879845953769,0.48
"54",0.210902108888805,0.280043896950712,0.359111315434927,0.622088159338191,0.683266420459525,0.726854822899318,2.04628210930419,2.2955392637274,2.50546491001401,0.47
"55",0.209592973887348,0.278503706485016,0.356979264620373,0.623855313361829,0.684353900901614,0.72756280473371,2.03465633820045,2.2881541719703,2.50208280850763,0.46
"56",0.207669130194586,0.276833865931482,0.355327946749658,0.62522021022953,0.685527609397309,0.728594258232131,2.023037874372,2.28059133103616,2.49865039658802,0.45
