,dn0_lo10,dn0_med,dn0_up90,rn0_lo10,rn0_med,rn0_up90,gamman_lo10,gamman_med,gamman_up90,bioassay_mortality,resistance
16,0.425698039,0.464020359,0.498619396,0.497473733,0.529671496,0.564493316,2.531730263,2.564610128,2.59598184,0.85,0.15
17,0.424875375,0.46360905,0.49838993,0.497689265,0.530050307,0.565229377,2.52393902,2.559081677,2.592798689,0.84,0.16
18,0.424255498,0.463327024,0.49809333,0.497967818,0.530309997,0.565783644,2.516076376,2.553506223,2.589580585,0.83,0.17
19,0.423650412,0.46296126,0.497763326,0.498277694,0.530646717,0.56632439,2.508134606,2.547907124,2.586326739,0.82,0.18
20,0.423076587,0.462618197,0.497254306,0.498755567,0.530962467,0.566836946,2.500112307,2.542243529,2.583036334,0.81,0.19
21,0.422509706,0.462000654,0.496897655,0.499090324,0.531530664,0.567343048,2.492008037,2.536514024,2.579708525,0.8,0.2
22,0.421934709,0.461498336,0.49621254,0.499733208,0.531992677,0.567856131,2.483511765,2.530698326,2.576342437,0.79,0.21
23,0.421499006,0.461006341,0.495734866,0.500181306,0.532445046,0.568244741,2.475195459,2.524793142,2.572937162,0.78,0.22
24,0.420832515,0.460538489,0.495461697,0.50043752,0.53287508,0.568838905,2.466850856,2.518835835,2.569491761,0.77,0.23
25,0.420403514,0.460114409,0.495078926,0.500796466,0.533264766,0.569221158,2.458498646,2.512796927,2.566005259,0.76,0.24
26,0.419997074,0.45949891,0.494664128,0.501185367,0.53383015,0.569583176,2.450126608,2.506722532,2.562476644,0.75,0.25
27,0.419282533,0.458779064,0.494109748,0.501705006,0.53449109,0.570219305,2.441480601,2.500618318,2.558904866,0.74,0.26
28,0.418896344,0.458015427,0.493526496,0.50225155,0.53519189,0.570562939,2.432721877,2.494433986,2.555288835,0.73,0.27
29,0.418459657,0.457466859,0.492913372,0.502825909,0.535695093,0.570951362,2.423897816,2.488128759,2.551610464,0.72,0.28
30,0.417779839,0.457084323,0.492337443,0.50336526,0.536045885,0.57155573,2.414947938,2.481636987,2.547875963,0.71,0.29
31,0.416921979,0.456511424,0.49194316,0.503734408,0.536571075,0.572317839,2.40590642,2.475053007,2.544146095,0.7,0.3
32,0.416067591,0.455815528,0.491417158,0.50422676,0.537208739,0.573076269,2.396762245,2.468444653,2.540369711,0.69,0.31
33,0.415230763,0.454927832,0.490838954,0.50476782,0.538021712,0.573818539,2.38731119,2.461802753,2.536541903,0.68,0.32
34,0.414379635,0.454244274,0.490431021,0.505149448,0.538647392,0.574572888,2.377542484,2.455072809,2.532648375,0.67,0.33
35,0.413554498,0.453678015,0.489948066,0.505601155,0.539165477,0.57530362,2.367935618,2.448287927,2.528698017,0.66,0.34
36,0.412774681,0.452997419,0.489457297,0.506060051,0.539787907,0.575993692,2.358197478,2.441370446,2.524501694,0.65,0.35
37,0.41203361,0.45217909,0.488923275,0.506559257,0.5405359,0.576649,2.348334369,2.434081615,2.520215628,0.64,0.36
38,0.410957583,0.451545651,0.488362414,0.507083399,0.541114599,0.577599668,2.338343509,2.42688649,2.516031067,0.63,0.37
39,0.410064273,0.450938823,0.487689671,0.50771189,0.541668745,0.578388152,2.328287602,2.419520726,2.511837072,0.62,0.38
40,0.409051338,0.450298588,0.487118834,0.508245001,0.542253136,0.579281397,2.318120663,2.412016533,2.507582106,0.61,0.39
41,0.408019232,0.449544064,0.48627317,0.509034473,0.542941503,0.580190632,2.308063379,2.404391848,2.503239495,0.6,0.4
42,0.406832904,0.448777102,0.485691301,0.509577469,0.543640835,0.581234583,2.298147962,2.396828563,2.498743361,0.59,0.41
43,0.405754262,0.448020898,0.485118373,0.510111952,0.544329976,0.582182697,2.287505435,2.389202295,2.494171404,0.58,0.42
44,0.404605549,0.447313219,0.484409264,0.510773246,0.544974552,0.583191253,2.276827049,2.381512191,2.489521084,0.57,0.43
45,0.403514763,0.446606727,0.483640985,0.51148943,0.545617714,0.584147867,2.265475839,2.373736102,2.484789731,0.56,0.44
46,0.4024065,0.445783698,0.482937617,0.512144836,0.546366545,0.585118713,2.253910431,2.36590166,2.479974535,0.55,0.45
47,0.401293492,0.444992665,0.482235522,0.512798799,0.547085834,0.586092607,2.242624301,2.357780759,2.475176612,0.54,0.46
48,0.400143177,0.444210237,0.481683813,0.513312507,0.54779688,0.58709796,2.231184139,2.349385859,2.470420044,0.53,0.47
49,0.398946836,0.4433128,0.481044988,0.51390713,0.548611929,0.588142247,2.219677186,2.340819483,2.465588012,0.52,0.48
50,0.397731657,0.44240401,0.48015037,0.514739485,0.549436725,0.589201616,2.208120615,2.331847169,2.460677912,0.51,0.49
51,0.39671762,0.441581154,0.47923588,0.515589892,0.550183039,0.590084573,2.196486853,2.323305654,2.455686996,0.5,0.5
52,0.395777059,0.440667735,0.478584633,0.51619523,0.55101094,0.590902686,2.184075788,2.314791555,2.450612364,0.49,0.51
53,0.394616309,0.439908142,0.477771308,0.516950903,0.551698973,0.591911171,2.172028487,2.305643305,2.445450952,0.48,0.52
54,0.393455145,0.439034017,0.476697807,0.517947764,0.552490249,0.592918728,2.160257913,2.296222207,2.440199519,0.47,0.53
55,0.392376185,0.438100389,0.476201254,0.518408655,0.55333479,0.593853791,2.147157304,2.286650241,2.434854629,0.46,0.54
56,0.390839828,0.437017732,0.475430507,0.519123781,0.554313363,0.59518331,2.134252937,2.277253362,2.429412642,0.45,0.55
57,0.389160746,0.436318021,0.474884397,0.519630286,0.554945359,0.596633694,2.121337707,2.268022106,2.423869692,0.44,0.56
58,0.387950429,0.435271749,0.47397765,0.520470909,0.555889713,0.59767743,2.107935358,2.258638951,2.418221668,0.43,0.57
59,0.386245247,0.434152147,0.473054963,0.521325843,0.556899387,0.599145447,2.094281076,2.248848215,2.412464194,0.42,0.58
60,0.384473857,0.433283568,0.472312018,0.522013889,0.557682049,0.600667355,2.080659094,2.239037134,2.406523487,0.41,0.59
61,0.382672461,0.43258668,0.470929671,0.523293265,0.558309606,0.602211763,2.066250594,2.229026697,2.400244616,0.4,0.6
62,0.381007594,0.431320425,0.469851787,0.524290109,0.559448957,0.603636141,2.051969085,2.218341332,2.393779045,0.39,0.61
63,0.379415104,0.430091087,0.468896592,0.525172935,0.560553911,0.604995886,2.038092287,2.20815863,2.387157151,0.38,0.62
64,0.377616856,0.428607101,0.467661182,0.52631397,0.561886323,0.606528111,2.023434854,2.197378993,2.380360236,0.37,0.63
65,0.375919845,0.427429561,0.467002002,0.526922433,0.562942374,0.60797091,2.00792062,2.186234863,2.373382078,0.36,0.64
66,0.374317495,0.426279285,0.465863285,0.527972942,0.563972945,0.609330377,1.992395229,2.174460208,2.366220793,0.35,0.65
