"","resistance","dn0","rn0","gamman"
"1",0,0.3376,0.639641911241448,3.80871490794686
"2",0.01,0.33695,0.640193324079614,3.79392352753544
"3",0.02,0.33625,0.640740715393416,3.77902431337545
"4",0.03,0.3353,0.641468650678569,3.76401565129183
"5",0.04,0.33435,0.642250866729935,3.7489011955932
"6",0.05,0.33345,0.642946951510771,3.73371211751644
"7",0.06,0.333,0.643348136677109,3.71841363039688
"8",0.07,0.332,0.64416307148668,3.70301237792511
"9",0.08,0.3311,0.644873964794059,3.68745311842528
"10",0.09,0.3306,0.645233125137724,3.67176389275859
"11",0.1,0.33,0.64573171063308,3.65595999217719
"12",0.11,0.329,0.646500687804678,3.64009490931168
"13",0.12,0.3282,0.647141066210266,3.62411588626982
"14",0.13,0.32745,0.647727338243832,3.60803697075506
"15",0.14,0.32665,0.648331567973203,3.59179621427067
"16",0.15,0.3255,0.649278311536924,3.57543124747093
"17",0.16,0.32475,0.649862837908976,3.55893999771026
"18",0.17,0.324,0.650430029921626,3.54241512342928
"19",0.18,0.3231,0.651161085798307,3.52582323512427
"20",0.19,0.322,0.651994991964489,3.50910192105283
"21",0.2,0.3207,0.653026400621824,3.49217977638829
"22",0.21,0.31985,0.653647276506479,3.47520404451893
"23",0.22,0.3189,0.65437563506531,3.45810544330369
"24",0.23,0.3181,0.655028068294572,3.44088183291433
"25",0.24,0.3171,0.655802762068592,3.42353100927573
"26",0.25,0.3163,0.6564477337367,3.40605070125508
"27",0.26,0.3154,0.657106505907177,3.38843856768806
"28",0.27,0.3143,0.657956632204785,3.37069219422994
"29",0.28,0.313,0.658948490376699,3.35280909001888
"30",0.29,0.31195,0.65975963806565,3.33478668413742
"31",0.3,0.311,0.660479004531183,3.31662232185662
"32",0.31,0.3098,0.661416883758155,3.29815310475415
"33",0.32,0.3086,0.662308044257064,3.27920107588572
"34",0.33,0.3079,0.662828056267235,3.2599930014149
"35",0.34,0.3067,0.663730338438846,3.24132800048059
"36",0.35,0.3056,0.664580875274937,3.22233513428913
"37",0.36,0.3047,0.665283535572336,3.20338285971157
"38",0.37,0.3038,0.665963252051472,3.18400734614336
"39",0.38,0.3024,0.666947549471364,3.1640004263661
"40",0.39,0.3009,0.66813046054935,3.14408251443553
"41",0.4,0.29925,0.669346014492413,3.12355339806173
"42",0.41,0.298,0.670242685309049,3.10268466042365
"43",0.42,0.29705,0.670988008595788,3.08188469666379
"44",0.43,0.2954,0.672141808161774,3.06109524157675
"45",0.44,0.2943,0.67297671089226,3.03992681991626
"46",0.45,0.29275,0.674123130654678,3.01808462007705
"47",0.46,0.2913,0.675193999394021,2.99613863050808
"48",0.47,0.2901,0.67604184682998,2.97430464652515
"49",0.48,0.28825,0.677409752452352,2.95272152440208
"50",0.49,0.28615,0.678931996203961,2.93091720631836
"51",0.5,0.285,0.679742902810301,2.90912222304644
"52",0.51,0.2836,0.680756060459007,2.88682374025003
"53",0.52,0.2818,0.682034933792209,2.86422201511899
"54",0.53,0.2804,0.683036773462139,2.84174640529473
