"","dn0_betabin_lo05","dn0_binomial_05","dn0_med","dn0_binomial_up95","dn0_betabin_up95","rn0_betabin_lo05","rn0_binomial_05","rn0_med","rn0_binomial_up95","rn0_betabin_up95","gamman_betabin_lo05","gamman_binomial_lo05","gamman_med","gamman_binomial_up95","gamman_betabinom_up95","bioassay_mortality"
"1",0.369900946559511,0.41795018153288,0.493169050232374,0.545042591273632,0.568365006062236,0.613062890032356,0.571404332275587,0.502586418478145,0.453419061305347,0.43100079333154,1.63465959919384,2.64,2.64,2.64,3.97554435191176,1
"2",0.369242940821525,0.417085588559407,0.492484376222034,0.544712309073013,0.568200156900417,0.613617117651277,0.572172548145433,0.503227673651849,0.453735321230989,0.431159813589108,1.62633246097805,2.62434215677917,2.63140744041965,2.63616451694043,3.97129728630718,0.99
"3",0.368747883940098,0.416261056811367,0.491933396372495,0.544436184720502,0.567965513419801,0.614033745272307,0.572904594362733,0.503743547951934,0.453999695803734,0.431386147249373,1.61784011912928,2.60851767393502,2.6227372432284,2.63226906941227,3.95992688908534,0.98
"4",0.367501706098241,0.415426267715012,0.490983986879127,0.544154949108523,0.567795148656419,0.615081385671656,0.573645173119383,0.504632119429311,0.454268937960381,0.431550469006008,1.60979283802828,2.59252487529176,2.61398813592437,2.62831216199429,3.94585953714595,0.97
"5",0.366239551879619,0.414613684918861,0.490542734621792,0.543868455174721,0.567629729122959,0.616140647275766,0.5743655106064,0.50504493969108,0.454543186965344,0.43171001320229,1.60166727626183,2.57636209486897,2.60515881452553,2.62429224795267,3.93471139701937,0.96
"6",0.364961119846977,0.41394830428115,0.490167522505195,0.543576550119617,0.567435773829418,0.617211697928504,0.574954941650264,0.505395898978751,0.454822587482998,0.431897069932796,1.59656098508794,2.55997380788687,2.59621318974796,2.62020772699222,3.9113772031379,0.95
"7",0.363774265992491,0.413606965846232,0.489600680566398,0.54327899649506,0.567190548161051,0.618204325466815,0.575257172994137,0.505925989233565,0.455107365097635,0.432133558353125,1.59296895975798,2.54313562203669,2.58713160582209,2.61605694288725,3.90234410181159,0.94
"8",0.362822627660097,0.412862861267641,0.489041350877992,0.542974066737145,0.566939113314291,0.618999040676836,0.575915685908479,0.506448891431993,0.455399171211068,0.432376017172782,1.58706194258039,2.52600914999931,2.57788257852836,2.61183818098451,3.89454694093446,0.93
"9",0.361871870780147,0.411796304994244,0.488256782285213,0.54258034158368,0.566681244280498,0.619791961368501,0.576858743350376,0.507182096784136,0.455775904435282,0.432624661988802,1.57542281219735,2.50858985661229,2.56847093516643,2.60762948064578,3.8864800144193,0.92
"10",0.360909448088679,0.410715335604342,0.487271018570917,0.542123168690977,0.566416705518993,0.620593523700038,0.577813556737539,0.508102890579554,0.456213281689702,0.432879718446939,1.56370356054075,2.49123098312885,2.55910296719318,2.60338842421255,3.87813639504056,0.91
"11",0.359935117477931,0.409632091193574,0.486405036567165,0.541627224723705,0.566145250354402,0.621403882215084,0.578769377973928,0.508911391255989,0.456687671481444,0.433141422813702,1.55190398293365,2.4736886532153,2.54951269196719,2.59910104376969,3.86204350804946,0.9
"12",0.359006654118406,0.408488503355146,0.485737744507737,0.541119346836342,0.565880589973791,0.622175036213401,0.579777344347776,0.509534130946675,0.457173390222118,0.433396556425917,1.54068994143308,2.45593625931889,2.53989035413211,2.59476634409709,3.85255900274012,0.89
"13",0.358088958684752,0.407394104452552,0.484846816886443,0.540599121667875,0.565661391864701,0.622936227501756,0.580740884072638,0.510365228723547,0.457670826630733,0.433607849696954,1.53279189814281,2.43797183940257,2.53009924953851,2.59031026621609,3.8407554539817,0.88
"14",0.357159856654966,0.406253379577459,0.484037254152549,0.540066117338329,0.565432137721103,0.623705841761163,0.581744095823,0.511120069431793,0.458180386634049,0.433828822396454,1.52603187586393,2.41990893003736,2.51998100383268,2.58575039941964,3.82585749104003,0.87
"15",0.356219100896467,0.405126424543226,0.483437839058623,0.539519882435498,0.565197354385638,0.624484038469501,0.582734082106947,0.511678749888151,0.458702494293717,0.434055108967763,1.51910867553219,2.4018456092328,2.50987304697013,2.5811182119498,3.81064608125086,0.86
"16",0.355266436410481,0.404187296286493,0.482469847475603,0.538959944936396,0.564956843153068,0.625270981470196,0.583558199801553,0.512580566096801,0.45923759279197,0.434286899752789,1.50500471397014,2.38297175669643,2.49959751463607,2.57641178909934,3.79500331824444,0.85
"17",0.354311986233564,0.402901098310327,0.481510267637591,0.538457087944225,0.564710395856747,0.626058283226738,0.584685602072743,0.51347406493163,0.459718050622807,0.434524394122809,1.49330816516848,2.36453860185539,2.48912997949775,2.57162914467873,3.78736589551403,0.84
"18",0.35335012077184,0.401746814079235,0.480490078762389,0.538050854692875,0.564397398499875,0.626850559880136,0.585696104455716,0.514423466306406,0.460106124680405,0.434825995724985,1.48083318649023,2.3461091535128,2.47844905521958,2.56676821754997,3.7764749144748,0.83
"19",0.352467648662208,0.401065398486809,0.479557783804354,0.537476009806569,0.564018732769312,0.627576424431509,0.586292071983866,0.515290596145792,0.460655174769936,0.435190837359122,1.47491414364108,2.32753310294735,2.46734409536576,2.56191915031875,3.76058533915758,0.82
"20",0.351331296541051,0.40037474917373,0.478468565170098,0.536872965778555,0.563607238948637,0.62850965513407,0.586895682258369,0.51630309293471,0.461231035291833,0.43558726216664,1.46524902059207,2.3088099809515,2.45629869078884,2.55711460522258,3.74442936199503,0.81
"21",0.35031496351489,0.399674638641824,0.477330637915834,0.536252284415453,0.563080260301925,0.629342951544618,0.587507114350151,0.517360188367022,0.461823604782425,0.436094871390135,1.45517110877263,2.28993936558492,2.44541712987987,2.55225336760757,3.73537307532332,0.8
"22",0.348520437964232,0.398665913767566,0.476373639842631,0.535511238501624,0.562647306526015,0.630811115655212,0.58838727402441,0.518248665138811,0.462530909166248,0.436511851821349,1.44498984467942,2.27092301637046,2.43462764559561,2.54733409098335,3.72659203774629,0.79
"23",0.347712967207997,0.397590753727576,0.475647455919237,0.534771602162298,0.5623740006634,0.631470376054588,0.589324357383423,0.518922519782791,0.463236674010713,0.436775046545437,1.43496078135509,2.25014490266369,2.423615573931,2.54235537988697,3.71783615165825,0.78
"24",0.346910338955035,0.396524067590092,0.474715825672882,0.534238102089404,0.561943835387536,0.632124851744799,0.59025299446868,0.519786598682015,0.463745622170516,0.437189252490102,1.42451257523319,2.22891435366753,2.41187839256538,2.53730527966064,3.6977917367664,0.77
"25",0.346060222341828,0.395365016401334,0.473630593532309,0.533623862888443,0.561499731774882,0.632817126349528,0.591260825672547,0.520792535821419,0.464331467336419,0.437616821930373,1.41401268363078,2.20870343308819,2.40000235059046,2.53217293205084,3.68514014369486,0.76
"26",0.345041861399542,0.394312975568343,0.472503005008446,0.532926765079738,0.561024556010122,0.633645147789101,0.592174496938499,0.521837033853984,0.464996176243389,0.438074245558414,1.40346577580627,2.18631402064456,2.38743143535999,2.52697308024122,3.67618108770203,0.75
"27",0.343178672460586,0.392031676136261,0.47161905602205,0.532241579673959,0.560533479710721,0.635156630579365,0.594152121612054,0.522655357244448,0.465649354997847,0.438546906173594,1.39112119647872,2.16563720431143,2.37549121530812,2.52105481021425,3.66745912850783,0.74
"28",0.341758182712766,0.390043532097249,0.470501376439992,0.531753545368003,0.560063395493574,0.636305872861829,0.595871492450174,0.523689428575847,0.466114489597775,0.438999295849553,1.37615651468071,2.14523262885427,2.36337414478517,2.51497183010934,3.66201895719972,0.73
"29",0.339916105976737,0.389115487010814,0.469570875019256,0.531140127541888,0.559607860913982,0.63779216631603,0.596672742711956,0.524549792579137,0.466699000118329,0.43943762215916,1.36496376486806,2.12466527989187,2.35050651255427,2.5087389297224,3.65648815827156,0.72
"30",0.337992541496394,0.387754122431722,0.468604028619187,0.530522125264754,0.559179215028576,0.639339283836508,0.597846572363154,0.525443213944935,0.467287739996725,0.439850019239668,1.35586115712595,2.10395325009551,2.33808345160068,2.50235057928629,3.64973770809148,0.71
"31",0.336049867482039,0.386182052634054,0.467654111338896,0.529756466378448,0.558599639168676,0.640896616568365,0.599199785598157,0.526320497656629,0.468016950007573,0.440407536582337,1.34703276929697,2.0835595192614,2.32518476231644,2.49580097978821,3.628888265749,0.7
"32",0.334281369904028,0.38458415051562,0.466209179189871,0.529057376927456,0.558090301547431,0.642309759925489,0.600572680260371,0.527653921145161,0.468682570295519,0.44089740605349,1.33782352998759,2.0631733953267,2.31232034361846,2.48908404677863,3.61889460642386,0.69
"33",0.332574644240224,0.382975113944926,0.464563642779176,0.528169467065331,0.557586658708332,0.643669379403864,0.601952518236547,0.529170981031354,0.469527708866363,0.441381722488007,1.32748430290323,2.04083286347859,2.29926416543237,2.4823838669017,3.60870244414199,0.68
"34",0.331320325065618,0.381614231897539,0.462845670825766,0.527331366298933,0.557049569558915,0.644665956931819,0.603117462750956,0.530753102185665,0.470325167863775,0.441898117179406,1.31571509213609,2.01939946409587,2.28644435068489,2.47566644511854,3.59038197523392,0.67
"35",0.33041078655864,0.379652330841498,0.46170527591222,0.526470128190635,0.556454622377354,0.645387205480995,0.604793503174063,0.531802357243398,0.471144366823078,0.442470037962501,1.30402539239039,1.99786454793429,2.27378639332601,2.46868984448503,3.57030282935576,0.66
"36",0.329941269330966,0.377925878846277,0.460236197213414,0.525695541677987,0.555870543894113,0.645759025197816,0.60626504624877,0.533152863617836,0.471880904105696,0.443031406839721,1.29288465766382,1.97599498117254,2.26055555112369,2.46204612954464,3.56742107918232,0.65
"37",0.329154238267468,0.376184051984957,0.458794362722008,0.525095246268788,0.555546526073304,0.646381617932884,0.607746480652831,0.53447704711215,0.472451554545843,0.443342783459193,1.28141563574955,1.95265665228422,2.24669155116127,2.45527544195914,3.56450183399765,0.64
"38",0.327511419928502,0.3745437618458,0.457555957654646,0.524403636796781,0.55525993236252,0.647678354513128,0.609138575988299,0.535613376594264,0.473108838516962,0.443618169041154,1.26459152534873,1.92965372089418,2.2319875567882,2.4483735793677,3.55469665427939,0.63
"39",0.326358182725922,0.373483870998954,0.456607433336317,0.523746003485083,0.55467401281848,0.648586244061546,0.610036515096136,0.53648307524,0.473733662001275,0.444181094201121,1.24528496745078,1.90356156576561,2.21806127794157,2.44123407181831,3.5432283062367,0.62
"40",0.324872878692089,0.372104000177759,0.455334388565911,0.523070367569201,0.553926687006494,0.649752669878628,0.611203693606871,0.537649440128818,0.474375415830715,0.444898938168268,1.23316389354662,1.88166266148266,2.20407713048996,2.43418942019178,3.53152052153954,0.61
"41",0.32338222901559,0.369837002407418,0.454448727765596,0.52237587462174,0.553145165824825,0.650920009063046,0.613116771722562,0.538460279267776,0.475034896221416,0.445649444047167,1.22118871468785,1.85746288944063,2.19009343455606,2.42689998725655,3.51936430266245,0.6
"42",0.321866322479914,0.368227425954185,0.453175505198341,0.521652416105691,0.552425873194968,0.65210369825158,0.614471540592449,0.539625069659906,0.475721682689748,0.446340023320096,1.20818428678713,1.83294289474162,2.1731248151175,2.41978693050781,3.50582774800338,0.59
"43",0.320324410483738,0.36692281372659,0.451863791897299,0.52090317851302,0.551564641462026,0.653304113446522,0.615567448598577,0.540823984573357,0.476432724894155,0.447166661851445,1.18771393964229,1.80762456768683,2.15709939528756,2.41261904663229,3.49195387884989,0.58
"44",0.318554901769439,0.365630845786849,0.450153722905684,0.52014303510159,0.551036022551964,0.654677197164493,0.616650830337593,0.542385328046323,0.477153890217753,0.447673932963459,1.17554437922599,1.78324101214672,2.14057724952268,2.40527634217845,3.47772998754814,0.57
"45",0.316894996543206,0.363039417164042,0.448541849839789,0.519160227612647,0.550426926493131,0.655960857616018,0.618818093593697,0.543855264610316,0.478085962072897,0.448258322145765,1.15957797106457,1.75822450429033,2.12284362976092,2.39699902760155,3.46307496658459,0.56
"46",0.313580445657781,0.359930906459,0.446882918016038,0.518553835408614,0.549838354029872,0.658511178741656,0.621407382105996,0.54536630263165,0.478660858085271,0.448822907686534,1.13894922813168,1.73083955560141,2.10694459637939,2.389454554132,3.44784335233685,0.55
"47",0.311035080387532,0.357257703597003,0.444983772102864,0.517574971978702,0.549002777246432,0.66045778506474,0.623624841883974,0.547093909719287,0.479588567159737,0.44962424165601,1.12061378327243,1.70290136960261,2.09056788465725,2.38177452505379,3.43258427806263,0.54
"48",0.30917926892434,0.355911698236084,0.443565893102057,0.516668445859357,0.548103381373789,0.661870424073598,0.624738092390001,0.548382125951866,0.480447374134744,0.450486529567751,1.10213931115063,1.67499848777659,2.07225403506905,2.37395415382816,3.41664193534558,0.53
"49",0.308370028699121,0.35475909676355,0.44150476197758,0.515124662310586,0.547140887603859,0.662484541369145,0.625689617117798,0.550252301221003,0.481909117283829,0.451409021415028,1.08379448364219,1.64869322203402,2.05177822651022,2.36598839541246,3.39714168290088,0.52
"50",0.306356618854319,0.352645820798182,0.439986591721029,0.514144032372515,0.546324657030783,0.664008122526992,0.627429941844477,0.551627933718429,0.482837129813146,0.452191092224911,1.06672888330291,1.62112105828079,2.03504567701362,2.3578719271943,3.37343109961285,0.51
"51",0.303957640637011,0.349780883804509,0.438518539196996,0.513161148278694,0.545403702199051,0.665814633422978,0.629780349088553,0.552956615232982,0.483766879106906,0.453073245147441,1.04886610553045,1.59379827472744,2.01834376807992,2.34959912812447,3.3491282893409,0.5
"52",0.302591286229973,0.347216403760277,0.436579201025675,0.512006641015427,0.544297889843566,0.666839148671404,0.631875380685937,0.554709495512731,0.484858453855955,0.454132085346037,1.03908220742679,1.56705706299063,1.9995513814919,2.34113359415507,3.33948895314042,0.49
