,dn0_lo10,dn0_med,dn0_up90,rn0_lo10,rn0_med,rn0_up90,gamman_lo10,gamman_med,gamman_up90,bioassay_mortality,resistance
16,0.503649823,0.525992994,0.543919533,0.454494296,0.47159809,0.492742709,2.570528705,2.593680056,2.61319881,0.85,0.15
17,0.503299472,0.525730059,0.543677618,0.454725854,0.471848088,0.493072579,2.565417151,2.590283325,2.611225018,0.84,0.16
18,0.502954417,0.525397962,0.543435473,0.454957611,0.472163805,0.49339741,2.560223042,2.58684285,2.609224561,0.83,0.17
19,0.502604151,0.525039416,0.543249533,0.455135563,0.472504621,0.493727091,2.554960502,2.583357576,2.607196763,0.82,0.18
20,0.502248534,0.52477887,0.543018425,0.455356724,0.472752252,0.494061751,2.549626699,2.579802248,2.605140923,0.81,0.19
21,0.501882212,0.524518918,0.54278324,0.455581769,0.472999291,0.494406426,2.544174941,2.576214233,2.603056313,0.8,0.2
22,0.50150932,0.524265498,0.542543855,0.455810814,0.4732401,0.494757221,2.538791508,2.572554609,2.600942176,0.79,0.21
23,0.501049278,0.523987614,0.542306939,0.456037477,0.473504126,0.495189913,2.533304344,2.568805872,2.598797728,0.78,0.22
24,0.500678789,0.523690385,0.542074625,0.456259719,0.473786499,0.495538307,2.527644665,2.564991359,2.596629267,0.77,0.23
25,0.500152383,0.523353754,0.541950362,0.456378588,0.474106262,0.496033211,2.521808626,2.561156277,2.594437246,0.76,0.24
26,0.499835571,0.523161298,0.541682135,0.456635151,0.474289056,0.496331003,2.515999889,2.55724202,2.592214055,0.75,0.25
27,0.499527478,0.522889178,0.541373469,0.456930366,0.47454749,0.496620553,2.510106514,2.553278371,2.589956315,0.74,0.26
28,0.499135078,0.522572506,0.541149338,0.45714471,0.474848198,0.496989276,2.504124951,2.549304552,2.587662922,0.73,0.27
29,0.498833105,0.522307,0.540942656,0.457342352,0.475100289,0.497272979,2.498052903,2.545216725,2.585335158,0.72,0.28
30,0.49848014,0.522040118,0.540687276,0.45758654,0.47535366,0.497604535,2.491898207,2.541047324,2.582972036,0.71,0.29
31,0.498005421,0.521720136,0.540479788,0.45778492,0.475657404,0.49805037,2.48558049,2.536808218,2.580572528,0.7,0.3
32,0.497576076,0.521410934,0.540286937,0.457969291,0.475950879,0.498453501,2.479226239,2.532477397,2.57813556,0.69,0.31
33,0.497084127,0.521091893,0.540087567,0.458159882,0.476253651,0.498915307,2.472750204,2.528080664,2.57566001,0.68,0.32
34,0.496582968,0.520764357,0.539878058,0.45836015,0.476564445,0.499385642,2.466161145,2.523701426,2.573144707,0.67,0.33
35,0.496072299,0.520419675,0.539636438,0.458591095,0.476891462,0.49986478,2.459318219,2.519251143,2.570588425,0.66,0.34
