"","resistance","dn0","rn0","gamman"
"1",0,0.50935,0.487348188050192,4.34956597980726
"2",0.01,0.50875,0.487918557258137,4.34018076116755
"3",0.02,0.5084,0.488300481022274,4.32825868080196
"4",0.03,0.5078,0.488843653290552,4.3126496034605
"5",0.04,0.5072,0.489396085575591,4.29743659963062
"6",0.05,0.5066,0.489958018933,4.283246093621
"7",0.06,0.50585,0.490657156312355,4.26883721724135
"8",0.07,0.5051,0.491416074295941,4.25378660403277
"9",0.08,0.5043,0.49210502120488,4.23806658467467
"10",0.09,0.5036,0.492754717745387,4.22467954385837
"11",0.1,0.50295,0.493407738808219,4.20759361673755
"12",0.11,0.50235,0.49399559727348,4.19339458151522
"13",0.12,0.5015,0.494739802882863,4.18001108174577
"14",0.13,0.5009,0.495323771313383,4.16588911857465
"15",0.14,0.50025,0.49597470380292,4.153202583592
"16",0.15,0.49895,0.497153478767574,4.13458392449866
"17",0.16,0.4979,0.498165593379799,4.11566069631304
"18",0.17,0.4972,0.498822098620638,4.09646759251745
"19",0.18,0.4966,0.499396249122672,4.0776169919101
"20",0.19,0.49565,0.500233544117705,4.05874548005522
"21",0.2,0.4948,0.501042676766046,4.03844085774194
"22",0.21,0.49355,0.502196610617009,4.02031881566668
"23",0.22,0.4925,0.50325080486155,4.00360773598666
"24",0.23,0.4913,0.504328079896931,3.98029495802268
"25",0.24,0.49035,0.505206644705356,3.9560626149564
"26",0.25,0.4893,0.506205702795708,3.94086406496521
"27",0.26,0.4882,0.507216233965407,3.92522661875086
"28",0.27,0.4876,0.507782736815432,3.90839672163981
"29",0.28,0.48685,0.508525475977857,3.8855010031311
"30",0.29,0.48595,0.509360923913313,3.8612713329
"31",0.3,0.48495,0.510274558374701,3.838829994336
"32",0.31,0.4838,0.511356226276338,3.82404150552665
"33",0.32,0.48275,0.512318548951482,3.81561205394405
"34",0.33,0.4815,0.513500384880255,3.80871490794686
"35",0.34,0.4801,0.51480739762759,3.80871490794686
"36",0.35,0.4789,0.515923810020645,3.80376328956361
"37",0.36,0.478,0.516715615113689,3.79165686801186
"38",0.37,0.47695,0.517705471011424,3.79042299975656
"39",0.38,0.47545,0.519128855751123,3.79049042807562
"40",0.39,0.4738,0.520647647768521,3.78319313185158
"41",0.4,0.4722,0.522102924860756,3.77784715167421
"42",0.41,0.4709,0.52332709889051,3.76981871790062
"43",0.42,0.46965,0.524460051729315,3.74713336497322
"44",0.43,0.4684,0.525628486233718,3.75440947129235
"45",0.44,0.46645,0.527468721296612,3.74008654598904
"46",0.45,0.46445,0.529289430678902,3.74237945977195
"47",0.46,0.463,0.530630006651258,3.73309355898707
"48",0.47,0.4618,0.531729986198076,3.71318491405544
"49",0.48,0.4596,0.533748808938906,3.71697120662351
"50",0.49,0.458,0.53522109583553,3.71343930090577
"51",0.5,0.45665,0.536448463906353,3.70419072232168
"52",0.51,0.45485,0.538117631984296,3.68830898224336
"53",0.52,0.4521,0.540596423381981,3.6936334902326
"54",0.53,0.4499,0.542634005476893,3.67540951435478
"55",0.54,0.4477,0.544605703906146,3.666897241628
"56",0.55,0.44565,0.546486718669553,3.63952776905961
"57",0.56,0.44385,0.548114005593822,3.65052594428028
"58",0.57,0.4421,0.549689434768178,3.62140518541622
"59",0.58,0.4408,0.550867232068921,3.64015843282591
"60",0.59,0.43885,0.552658135262082,3.63746245384774
"61",0.6,0.43665,0.554652267550844,3.61784036413697
"62",0.61,0.4343,0.556753180068135,3.59350227265827
"63",0.62,0.43155,0.559236305359854,3.60445698508388
"64",0.63,0.42945,0.561109406811361,3.58319817585887
"65",0.64,0.427,0.563361594172155,3.58312176244393
"66",0.65,0.4249,0.565193937104002,3.5594774259972
"67",0.66,0.42265,0.567208217234532,3.54091985013527
"68",0.67,0.4194,0.570130978298009,3.54586662095225
"69",0.68,0.41695,0.572302925864484,3.53755902775246
"70",0.69,0.4134,0.57542702129329,3.5267648657104
"71",0.7,0.41,0.578422382614951,3.49479404922779
"72",0.71,0.4064,0.581644908674759,3.50705330655006
"73",0.72,0.4032,0.584408271138702,3.49461058321985
"74",0.73,0.39995,0.587240427180083,3.46136646960647
"75",0.74,0.39585,0.590846602871946,3.47768390473818
"76",0.75,0.39165,0.594484073346881,3.45285292842049
"77",0.76,0.38695,0.598526071690077,3.40279472648188
"78",0.77,0.3832,0.601738500079888,3.41900128019391
"79",0.78,0.37685,0.607157300708399,3.39203443629502
"80",0.79,0.37245,0.610907874721275,3.34619819636233
"81",0.8,0.36675,0.615695222697275,3.37981553949983
"82",0.81,0.3621,0.619599327435193,3.29486539846191
"83",0.82,0.35645,0.62431105954244,3.28319971398224
"84",0.83,0.34985,0.629718577795978,3.30060937159737
"85",0.84,0.34285,0.635429000047103,3.29796172284313
"86",0.85,0.3344,0.642208819455777,3.20130510830373
"87",0.86,0.32665,0.648375037457578,3.1838618248423
"88",0.87,0.3178,0.655262199244098,3.12696398083358
"89",0.88,0.31045,0.660904847874814,3.06939829139614
"90",0.89,0.30185,0.667415349726028,2.96635625712276
"91",0.9,0.2913,0.675178730522325,2.98412514447675
"92",0.91,0.2811,0.682542564640481,2.80902967640953
"93",0.92,0.2697,0.690467306328769,2.69234824374181
"94",0.93,0.25735,0.698810344994334,2.67173144715157
"95",0.94,0.2438,0.707532024318487,2.46125165280549
"96",0.95,0.2285,0.716860306740868,2.33619155379162
"97",0.96,0.21145,0.726561241378081,2.23503379974951
"98",0.97,0.1912,0.736947871217459,1.97055599562807
"99",0.98,0.1701,0.746424632543615,1.8606461755784
"100",0.99,0.1387,0.757512703786579,1.61193030053624
"101",1,0.0714,0.763402250276668,1.149759925129
