"","resistance","dn0","rn0","gamman"
"1",0,0.5611,0.438021305797584,4.33908535721192
"2",0.01,0.5608,0.438264396488703,4.334944521922
"3",0.02,0.5606,0.438500676708483,4.3310854188108
"4",0.03,0.56035,0.438740657699522,4.32626801808702
"5",0.04,0.56,0.439085011681794,4.32306128842206
"6",0.05,0.5597,0.439369979612362,4.32055535038536
"7",0.06,0.55945,0.439572401477218,4.31522542105145
"8",0.07,0.5592,0.439824467322666,4.30602603847391
"9",0.08,0.55885,0.44015795806599,4.30432048456617
"10",0.09,0.5585,0.440537157261969,4.29528043820444
"11",0.1,0.5582,0.440837398849724,4.28492114927763
"12",0.11,0.5578,0.441139744981639,4.28026267170467
"13",0.12,0.5575,0.441459739259591,4.27109560024323
"14",0.13,0.5572,0.441760237831433,4.2632189764385
"15",0.14,0.55695,0.442020897907488,4.25934199576738
"16",0.15,0.55665,0.442299629128397,4.25201934844159
"17",0.16,0.5563,0.442605961989202,4.24875210664546
"18",0.17,0.55605,0.442862384603904,4.24625063085393
"19",0.18,0.55565,0.443225904833754,4.24092535084008
"20",0.19,0.5553,0.443584531030346,4.23015682546225
"21",0.2,0.5549,0.443968162620691,4.22308798919771
"22",0.21,0.55445,0.44442716566995,4.21876011284727
"23",0.22,0.55395,0.444865563681418,4.21313107933495
"24",0.23,0.5535,0.44530428335459,4.20551855511611
"25",0.24,0.55305,0.445739840465126,4.20247258314137
"26",0.25,0.5526,0.446151314586444,4.19804510426393
"27",0.26,0.55215,0.446611845944503,4.18854167366652
"28",0.27,0.5517,0.447041900535758,4.18139572133904
"29",0.28,0.5512,0.447485919331834,4.17211680559421
"30",0.29,0.55075,0.447964419169816,4.16075700240878
"31",0.3,0.55015,0.448546438868396,4.15205208068214
"32",0.31,0.54975,0.448888344475938,4.14182739964576
"33",0.32,0.5493,0.449359974323549,4.13280148844391
"34",0.33,0.54875,0.449892113050379,4.1216694175973
"35",0.34,0.5481,0.450504851564279,4.1082030505825
"36",0.35,0.54745,0.4511109121873,4.09465755957906
"37",0.36,0.5469,0.451642173573211,4.08118738771593
"38",0.37,0.5463,0.452206521593607,4.07022172483466
"39",0.38,0.54555,0.452929781875038,4.05618598134549
"40",0.39,0.545,0.453474668625038,4.04536357345431
"41",0.4,0.5444,0.45402301739036,4.03074884784177
"42",0.41,0.54365,0.45474247732361,4.02176466120459
"43",0.42,0.543,0.455398231494404,4.01344594624082
"44",0.43,0.5423,0.45604823904273,4.00395356867163
"45",0.44,0.54145,0.456886858852953,3.98996578097117
"46",0.45,0.5407,0.45759376956323,3.97632199070812
"47",0.46,0.53985,0.458404675849286,3.95859128344251
"48",0.47,0.5391,0.459107843355641,3.94612662765245
"49",0.48,0.5387,0.459497782838858,3.92498120151129
"50",0.49,0.538,0.460174976193568,3.90414037970856
"51",0.5,0.53705,0.461053080878871,3.88352629227203
"52",0.51,0.5362,0.46187221572381,3.86478388944462
"53",0.52,0.53535,0.462678631802316,3.85144281907059
"54",0.53,0.5346,0.463405564737065,3.83918573621815
"55",0.54,0.5335,0.464461072568136,3.82138244052217
"56",0.55,0.5322,0.465727739472388,3.80871490794686
"57",0.56,0.53095,0.466870339270299,3.80871490794686
"58",0.57,0.52965,0.468114635038319,3.80871490794686
"59",0.58,0.52835,0.469381006699691,3.78989609897963
"60",0.59,0.5272,0.47046744834449,3.78446723002542
"61",0.6,0.526,0.471579943652221,3.76854481687765
"62",0.61,0.5248,0.472738253543616,3.76345446766467
"63",0.62,0.52335,0.474117709486996,3.75799318427443
"64",0.63,0.5218,0.47558455439989,3.74751645472176
"65",0.64,0.5204,0.476905873809904,3.72404854623359
"66",0.65,0.51895,0.478288203645973,3.72680167713528
"67",0.66,0.517,0.480097717812704,3.69396802312687
"68",0.67,0.5147,0.482309362247907,3.69291664920619
"69",0.68,0.5125,0.484411837067554,3.70321667629515
"70",0.69,0.5105,0.486285048250448,3.68261653777215
"71",0.7,0.50815,0.48850917689348,3.66774565309413
"72",0.71,0.50665,0.489955355145919,3.66449926373197
"73",0.72,0.50485,0.49161309314293,3.64504348724959
"74",0.73,0.50285,0.493518397302004,3.64531382797063
"75",0.74,0.5003,0.495877687047234,3.6460372187668
"76",0.75,0.49645,0.499543006763449,3.62340977835326
"77",0.76,0.49245,0.503240234456603,3.61576818953932
"78",0.77,0.48945,0.506055051036407,3.60586530064677
